交通機関,駅名,別名,路線,種別,備考
JR西日本,北伊丹,,JR宝塚線,駅,
JR西日本,川西池田,,JR宝塚線,駅,
JR西日本,中山寺,,JR宝塚線,駅,
JR西日本,宝塚,,JR宝塚線,駅,
JR西日本,生瀬,,JR宝塚線,駅,
JR西日本,西宮名塩,,JR宝塚線,駅,
JR西日本,武田尾,,JR宝塚線,駅,
JR西日本,道場,,JR宝塚線,駅,
JR西日本,三田,,JR宝塚線,駅,
JR西日本,新三田,,JR宝塚線,駅,
JR西日本,広野,,JR宝塚線,駅,
JR西日本,相野,,JR宝塚線,駅,
JR西日本,藍本,,JR宝塚線,駅,
JR西日本,草野,,JR宝塚線,駅,
JR西日本,古市,,JR宝塚線,駅,
JR西日本,南矢代,,JR宝塚線,駅,
JR西日本,篠山口,,JR宝塚線,駅,
JR西日本,相生,,赤穂線/山陽本線,駅,
JR西日本,西相生,,赤穂線,駅,
JR西日本,坂越,,赤穂線,駅,
JR西日本,播州赤穂,,赤穂線,駅,
JR西日本,天和,,赤穂線,駅,
JR西日本,備前福河,,赤穂線,駅,
JR西日本,日岡,,加古川線,駅,
JR西日本,神野,,加古川線,駅,
JR西日本,厄神,,加古川線,駅,
JR西日本,市場,,加古川線,駅,
JR西日本,小野町,,加古川線,駅,
JR西日本,粟生,,加古川線,駅,
JR西日本,河合西,,加古川線,駅,
JR西日本,青野ケ原,,加古川線,駅,
JR西日本,社町,,加古川線,駅,
JR西日本,滝野,,加古川線,駅,
JR西日本,滝,,加古川線,駅,
JR西日本,西脇市,,加古川線,駅,
JR西日本,新西脇,,加古川線,駅,
JR西日本,比延,,加古川線,駅,
JR西日本,日本へそ公園,,加古川線,駅,
JR西日本,黒田庄,,加古川線,駅,
JR西日本,本黒田,,加古川線,駅,
JR西日本,船町口,,加古川線,駅,
JR西日本,久下村,,加古川線,駅,
JR西日本,谷川,,加古川線/JR宝塚線,駅,
JR西日本,京口,,播但線,駅,
JR西日本,野里,,播但線,駅,
JR西日本,砥堀,,播但線,駅,
JR西日本,仁豊野,,播但線,駅,
JR西日本,香呂,,播但線,駅,
JR西日本,溝口,,播但線,駅,
JR西日本,福崎,,播但線,駅,
JR西日本,甘地,,播但線,駅,
JR西日本,鶴居,,播但線,駅,
JR西日本,新野,,播但線,駅,
JR西日本,寺前,,播但線,駅,
JR西日本,長谷,,播但線,駅,
JR西日本,生野,,播但線,駅,
JR西日本,新井,,播但線,駅,
JR西日本,青倉,,播但線,駅,
JR西日本,竹田,,播但線,駅,
JR西日本,和田山,,播但線/山陰本線,駅,
JR西日本,播磨高岡,,姫新線,駅,
JR西日本,余部,,姫新線,駅,
JR西日本,太市,,姫新線,駅,
JR西日本,本竜野,,姫新線,駅,
JR西日本,東觜崎,,姫新線,駅,
JR西日本,播磨新宮,,姫新線,駅,
JR西日本,千本,,姫新線,駅,
JR西日本,西栗栖,,姫新線,駅,
JR西日本,三日月,,姫新線,駅,
JR西日本,播磨徳久,,姫新線,駅,
JR西日本,佐用,,姫新線,駅,
JR西日本,上月,,姫新線,駅,
阪急,園田,,阪急神戸本線,駅,
阪急,塚口,,阪急神戸本線/伊丹線,駅,
阪急,武庫之荘,,阪急神戸本線,駅,
阪急,西宮北口,,阪急神戸本線/今津線,駅,
阪急,夙川,,阪急神戸本線/甲陽線,駅,
阪急,芦屋川,,阪急神戸本線,駅,
阪急,岡本,,阪急神戸本線,駅,
阪急,御影,,阪急神戸本線,駅,
阪急,六甲,,阪急神戸本線,駅,
阪急,王子公園,,阪急神戸本線,駅,
阪急,春日野道,,阪急神戸本線,駅,
阪急,神戸三宮,三宮/阪急神戸三宮,阪急神戸本線,駅,
阪急,稲野,,阪急伊丹線,駅,
阪急,新伊丹,,阪急伊丹線,駅,
阪急,伊丹,,阪急伊丹線,駅,
阪急,門戸厄神,,阪急今津線,駅,
阪急,甲東園,,阪急今津線,駅,
阪急,仁川,,阪急今津線,駅,
阪急,小林,,阪急今津線,駅,
阪急,逆瀬川,,阪急今津線,駅,
阪急,宝塚南口,,阪急今津線,駅,
阪急,宝塚,,阪急今津線/阪急宝塚本線,駅,
阪急,苦楽園口,,阪急甲陽線,駅,
阪急,甲陽園,,阪急甲陽線,駅,
阪急,今津,,阪急今津線,駅,
阪急,阪神国道,,阪急今津線,駅,
阪神,杭瀬,,阪神本線,駅,
阪神,大物,,阪神本線/阪神なんば線,駅,
阪神,尼崎,,阪神本線/阪神なんば線,駅,
阪神,出屋敷,,阪神本線,駅,
阪神,尼崎センタープール前,,阪神本線,駅,
阪神,武庫川,,阪神本線/武庫川線,駅,
阪神,鳴尾・武庫川女子大前,鳴尾,阪神本線,駅,
阪神,甲子園,,阪神本線,駅,
阪神,久寿川,,阪神本線,駅,
阪神,今津,,阪神本線,駅,
阪神,西宮,,阪神本線,駅,
阪神,香櫨園,,阪神本線,駅,
阪神,打出,,阪神本線,駅,
阪神,芦屋,,阪神本線,駅,
阪神,深江,,阪神本線,駅,
阪神,青木,,阪神本線,駅,
阪神,魚崎,,阪神本線,駅,
阪神,住吉,,阪神本線,駅,
阪神,御影,,阪神本線,駅,
阪神,石屋川,,阪神本線,駅,
阪神,新在家,,阪神本線,駅,
阪神,大石,,阪神本線,駅,
阪神,西灘,,阪神本線,駅,
阪神,岩屋,,阪神本線,駅,
阪神,春日野道,,阪神本線,駅,
阪神,神戸三宮,三宮/阪神神戸三宮,阪神本線,駅,
阪神,元町,,阪神本線/神戸高速線,駅,
阪神,西元町,,神戸高速線,駅,
阪神,高速神戸,,神戸高速線,駅,
阪神,新開地,,神戸高速線,駅,
山陽電車,西代,,山陽電車本線,駅,
山陽電車,板宿,,山陽電車本線,駅,
山陽電車,東須磨,,山陽電車本線,駅,
山陽電車,月見山,,山陽電車本線,駅,
山陽電車,須磨寺,,山陽電車本線,駅,
山陽電車,山陽須磨,須磨,山陽電車本線,駅,
山陽電車,須磨浦公園,,山陽電車本線,駅,
山陽電車,山陽塩屋,塩屋,山陽電車本線,駅,
山陽電車,滝の茶屋,,山陽電車本線,駅,
山陽電車,東垂水,,山陽電車本線,駅,
山陽電車,山陽垂水,垂水,山陽電車本線,駅,
山陽電車,霞ヶ丘,,山陽電車本線,駅,
山陽電車,舞子公園,舞子,山陽電車本線,駅,
山陽電車,西舞子,,山陽電車本線,駅,
山陽電車,大蔵谷,,山陽電車本線,駅,
山陽電車,人丸前,,山陽電車本線,駅,
山陽電車,山陽明石,明石,山陽電車本線,駅,
山陽電車,西新町,,山陽電車本線,駅,
山陽電車,林崎松江海岸,,山陽電車本線,駅,
山陽電車,藤江,,山陽電車本線,駅,
山陽電車,中八木,,山陽電車本線,駅,
山陽電車,江井ヶ島,,山陽電車本線,駅,
山陽電車,西江井ヶ島,,山陽電車本線,駅,
山陽電車,山陽魚住,魚住,山陽電車本線,駅,
山陽電車,東二見,,山陽電車本線,駅,
山陽電車,西二見,,山陽電車本線,駅,
山陽電車,播磨町,,山陽電車本線,駅,
山陽電車,別府,,山陽電車本線,駅,
山陽電車,浜の宮,,山陽電車本線,駅,
山陽電車,尾上の松,,山陽電車本線,駅,
山陽電車,高砂,,山陽電車本線,駅,
山陽電車,荒井,,山陽電車本線,駅,
山陽電車,伊保,,山陽電車本線,駅,
山陽電車,山陽曽根,曽根,山陽電車本線,駅,
山陽電車,大塩,,山陽電車本線,駅,
山陽電車,的形,,山陽電車本線,駅,
山陽電車,八家,,山陽電車本線,駅,
山陽電車,白浜の宮,,山陽電車本線,駅,
山陽電車,妻鹿,,山陽電車本線,駅,
山陽電車,飾磨,,山陽電車本線/網干線,駅,
山陽電車,亀山,,山陽電車本線,駅,
山陽電車,手柄,,山陽電車本線,駅,
山陽電車,山陽姫路,姫路,山陽電車本線,駅,
山陽電車,西飾磨,,山陽電車網干線,駅,
山陽電車,夢前川,,山陽電車網干線,駅,
山陽電車,広畑,,山陽電車網干線,駅,
山陽電車,山陽天満,,山陽電車網干線,駅,
山陽電車,平松,,山陽電車網干線,駅,
山陽電車,山陽網干,網干,山陽電車網干線,駅,
神戸電鉄,新開地,,神戸高速線,駅,
神戸電鉄,湊川,,有馬線,駅,
神戸電鉄,長田,,有馬線,駅,
神戸電鉄,丸山,,有馬線,駅,
神戸電鉄,鵯越,,有馬線,駅,
神戸電鉄,鈴蘭台,,有馬線/粟生線,駅,
神戸電鉄,北鈴蘭台,,有馬線,駅,
神戸電鉄,山の街,,有馬線,駅,
神戸電鉄,箕谷,,有馬線,駅,
神戸電鉄,谷上,,有馬線,駅,
神戸電鉄,花山,,有馬線,駅,
神戸電鉄,大池,,有馬線,駅,
神戸電鉄,神鉄六甲,,有馬線,駅,
神戸電鉄,唐櫃台,,有馬線,駅,
神戸電鉄,有馬口,,有馬線/三田線,駅,
神戸電鉄,有馬温泉,,有馬線,駅,
神戸電鉄,五社,,三田線,駅,
神戸電鉄,岡場,,三田線,駅,
神戸電鉄,田尾寺,,三田線,駅,
神戸電鉄,二郎,,三田線,駅,
神戸電鉄,道場南口,,三田線,駅,
神戸電鉄,神鉄道場,,三田線,駅,
神戸電鉄,横山,,三田線/公園都市線,駅,
神戸電鉄,三田本町,,三田線,駅,
神戸電鉄,三田,,三田線,駅,
神戸電鉄,フラワータウン,,公園都市線,駅,
神戸電鉄,南ウッディタウン,,公園都市線,駅,
神戸電鉄,ウッディタウン中央,,公園都市線,駅,
神戸電鉄,鈴蘭台西口,,粟生線,駅,
神戸電鉄,西鈴蘭台,,粟生線,駅,
神戸電鉄,藍那,,粟生線,駅,
神戸電鉄,木津,,粟生線,駅,
神戸電鉄,木幡,,粟生線,駅,
神戸電鉄,栄,,粟生線,駅,
神戸電鉄,押部谷,,粟生線,駅,
神戸電鉄,緑が丘,,粟生線,駅,
神戸電鉄,広野ゴルフ場前,,粟生線,駅,
神戸電鉄,志染,,粟生線,駅,
神戸電鉄,恵比須,,粟生線,駅,
神戸電鉄,三木上の丸,,粟生線,駅,
神戸電鉄,三木,,粟生線,駅,
神戸電鉄,大村,,粟生線,駅,
神戸電鉄,樫山,,粟生線,駅,
神戸電鉄,市場,,粟生線,駅,
神戸電鉄,小野,,粟生線,駅,
神戸電鉄,葉多,,粟生線,駅,
神戸電鉄,粟生,,粟生線,駅,
神戸市営バス,三宮,三宮駅前/地下鉄三宮駅前,普通区,停留所,
神戸市営バス,新神戸駅前,新神戸,普通区,停留所,
神戸市営バス,元町,,普通区,停留所,
神戸市営バス,神戸駅前,神戸駅,普通区,停留所,
神戸市営バス,神戸駅南口,,普通区,停留所,
神戸市営バス,ハーバーランド,,普通区,停留所,
神戸市営バス,名谷駅前,名谷,普通区,停留所,
神戸市営バス,学園都市駅前,学園都市,普通区,停留所,
神戸市営バス,伊川谷駅前,伊川谷,普通区,停留所,
神戸市営バス,西神中央駅前,西神中央,普通区,停留所,
神戸市営バス,垂水駅,垂水,普通区,停留所,
神戸市営バス,舞子駅前,舞子,普通区,停留所,
神姫バス,姫路駅,姫路駅北口/姫路駅南口/姫路,主要停留所,停留所,
神姫バス,加古川駅,加古川駅北口/加古川,主要停留所,停留所,
神姫バス,明石駅前,明石駅/明石,主要停留所,停留所,
神姫バス,西神中央駅前,西神中央,主要停留所,停留所,
神姫バス,伊川谷駅,伊川谷,主要停留所,停留所,
神姫バス,大久保駅,大久保,主要停留所,停留所,
神姫バス,三宮,三宮駅前/神戸三宮バスターミナル,主要停留所,停留所,
神姫バス,神戸駅南口,神戸駅,主要停留所,停留所,
神姫バス,三田駅,,主要停留所,停留所,
神姫バス,新三田駅,,主要停留所,停留所,
神姫バス,西明石駅,西明石,主要停留所,停留所,
神姫バス,土山駅,土山,主要停留所,停留所,
JR西日本,英賀保,,山陽本線,駅,
JR西日本,はりま勝原,,山陽本線,駅,
JR西日本,網干,,山陽本線,駅,
JR西日本,竜野,,山陽本線,駅,
JR西日本,有年,,山陽本線,駅,
JR西日本,上郡,,山陽本線,駅,
JR西日本,丹波大山,,JR宝塚線/福知山線,駅,
JR西日本,下滝,,JR宝塚線/福知山線,駅,
JR西日本,柏原,,JR宝塚線/福知山線,駅,
JR西日本,石生,,JR宝塚線/福知山線,駅,
JR西日本,黒井,,JR宝塚線/福知山線,駅,
JR西日本,市島,,JR宝塚線/福知山線,駅,
JR西日本,丹波竹田,,JR宝塚線/福知山線,駅,
JR西日本,梁瀬,,山陰本線,駅,
JR西日本,養父,,山陰本線,駅,
JR西日本,八鹿,,山陰本線,駅,
JR西日本,江原,,山陰本線,駅,
JR西日本,国府,,山陰本線,駅,
JR西日本,豊岡,,山陰本線,駅,
JR西日本,玄武洞,,山陰本線,駅,
JR西日本,城崎温泉,,山陰本線,駅,
JR西日本,竹野,,山陰本線,駅,
JR西日本,佐津,,山陰本線,駅,
JR西日本,柴山,,山陰本線,駅,
JR西日本,香住,,山陰本線,駅,
JR西日本,鎧,,山陰本線,駅,
JR西日本,餘部,,山陰本線,駅,
JR西日本,久谷,,山陰本線,駅,
JR西日本,浜坂,,山陰本線,駅,
JR西日本,諸寄,,山陰本線,駅,
JR西日本,居組,,山陰本線,駅,
阪急,川西能勢口,,阪急宝塚本線,駅,
阪急,雲雀丘花屋敷,,阪急宝塚本線,駅,
阪急,山本,,阪急宝塚本線,駅,
阪急,中山観音,,阪急宝塚本線,駅,
阪急,売布神社,,阪急宝塚本線,駅,
阪急,清荒神,,阪急宝塚本線,駅,
阪神,東鳴尾,,阪神武庫川線,駅,
阪神,洲先,,阪神武庫川線,駅,
阪神,武庫川団地前,,阪神武庫川線,駅,
ポートライナー,三宮,三宮/ポートライナー三宮,ポートライナー,駅,
ポートライナー,貿易センター,,ポートライナー,駅,
ポートライナー,ポートターミナル,,ポートライナー,駅,
ポートライナー,中公園,,ポートライナー,駅,
ポートライナー,みなとじま,みなとじま（キャンパス前）,ポートライナー,駅,
ポートライナー,市民広場,市民広場（コンベンションセンター）,ポートライナー,駅,
ポートライナー,医療センター,医療センター（市民病院前）,ポートライナー,駅,
ポートライナー,計算科学センター,計算科学センター（神戸どうぶつ王国・富岳前）,ポートライナー,駅,
ポートライナー,神戸空港,,ポートライナー,駅,
ポートライナー,南公園,,ポートライナー,駅,
ポートライナー,中埠頭,,ポートライナー,駅,
ポートライナー,北埠頭,,ポートライナー,駅,
六甲ライナー,住吉,六甲ライナー住吉,六甲ライナー,駅,
六甲ライナー,魚崎,六甲ライナー魚崎,六甲ライナー,駅,
六甲ライナー,南魚崎,,六甲ライナー,駅,
六甲ライナー,アイランド北口,,六甲ライナー,駅,
六甲ライナー,アイランドセンター,,六甲ライナー,駅,
六甲ライナー,マリンパーク,,六甲ライナー,駅,
神戸市営バス,住吉駅前,,普通区,停留所,
神戸市営バス,阪神御影,,普通区,停留所,
神戸市営バス,JR六甲道,,普通区,停留所,
神戸市営バス,阪急六甲,,普通区,停留所,
神戸市営バス,阪急御影,,普通区,停留所,
神戸市営バス,王子公園前,,普通区,停留所,
神戸市営バス,灘駅前,,普通区,停留所,
神戸市営バス,三宮センター街東口,,普通区,停留所,
神戸市営バス,南京町東口,,普通区,停留所,
神戸市営バス,メリケンパーク,,普通区,停留所,
神戸市営バス,新長田駅前,,普通区,停留所,
神戸市営バス,板宿,,普通区,停留所,
神戸市営バス,妙法寺駅前,,普通区,停留所,
神戸市営バス,垂水東口,,普通区,停留所,
神戸市営バス,舞子高校前,,普通区,停留所,
神戸市営バス,朝霧駅前,,普通区,停留所,
神戸市営バス,多聞団地口,,普通区,停留所,
神戸市営バス,学が丘,,普通区,停留所,
神戸市営バス,名谷駅,,普通区,停留所,
神戸市営バス,西神南駅前,,普通区,停留所,
神姫バス,姫路市役所前,,主要停留所,停留所,
神姫バス,姫路港,,主要停留所,停留所,
神姫バス,飾磨駅,,主要停留所,停留所,
神姫バス,山陽網干駅,,主要停留所,停留所,
神姫バス,網干駅,,主要停留所,停留所,
神姫バス,龍野,,主要停留所,停留所,
神姫バス,龍野駅,,主要停留所,停留所,
神姫バス,相生駅,,主要停留所,停留所,
神姫バス,赤穂駅,,主要停留所,停留所,
神姫バス,高砂駅,,主要停留所,停留所,
神姫バス,東加古川駅,,主要停留所,停留所,
神姫バス,別府駅,,主要停留所,停留所,
神姫バス,播磨町駅,,主要停留所,停留所,
神姫バス,三木営業所,,主要停留所,停留所,
神姫バス,小野駅,,主要停留所,停留所,
神姫バス,社町駅,,主要停留所,停留所,
神姫バス,西脇市駅,,主要停留所,停留所,
神姫バス,谷川駅,,主要停留所,停留所,
神姫バス,篠山口駅,,主要停留所,停留所,
神姫バス,フラワータウンセンター,,主要停留所,停留所,
神姫バス,ウッディタウン中央駅,,主要停留所,停留所,
神姫バス,神鉄道場駅,,主要停留所,停留所,
神姫バス,岡場駅,,主要停留所,停留所,
神姫バス,谷上駅,,主要停留所,停留所,
神姫バス,神戸空港,,主要停留所,停留所,
神姫バス,ポートアイランド,,主要停留所,停留所,
神姫バス,三宮東,,主要停留所,停留所,
神姫バス,三宮BT,,主要停留所,停留所,
